"Image ID";"Product ID";Position;Cover;Legend
1;1;1;1;
2;1;2;0;
3;1;3;0;
4;1;4;0;
5;1;5;0;
6;1;6;0;
7;2;1;1;
8;2;2;0;
9;2;3;0;
10;2;4;0;
11;2;5;0;
12;2;6;0;
13;3;1;1;
14;3;2;0;
15;3;3;0;
16;3;4;0;
17;3;5;0;
18;3;6;0;
19;4;1;1;
20;4;2;0;
21;4;3;0;
22;4;4;0;
23;4;5;0;
24;4;6;0;
25;5;1;1;
26;5;2;0;
27;5;3;0;
28;5;4;0;
29;5;5;0;
30;5;6;0;
31;6;1;1;
32;6;2;0;
33;6;3;0;
34;6;4;0;
35;6;5;0;
36;6;6;0;
37;7;1;1;
38;7;2;0;
40;7;4;0;
41;7;5;0;
42;7;6;0;
43;8;1;1;
44;8;2;0;
45;8;3;0;
46;8;4;0;
47;8;5;0;
48;8;6;0;
49;9;1;1;
50;9;2;0;
51;9;3;0;
52;9;4;0;
53;9;5;0;
54;9;6;0;
55;10;1;1;
56;10;2;0;
57;10;3;0;
58;10;4;0;
59;10;5;0;
60;10;6;0;
61;11;1;1;
62;11;2;0;
63;11;3;0;
64;11;4;0;
65;11;5;0;
66;11;6;0;
67;12;1;1;
68;12;2;0;
69;12;3;0;
70;12;4;0;
71;12;5;0;
72;12;6;0;
