"Product ID";"Active (0/1)";Name;"Categories (x,y,z...)";"Price tax excluded";"Price tax included";"Tax rules ID";"Wholesale price";"On sale (0/1)";"Discount amount";"Discount percent";"Discount from (yyyy-mm-dd)";"Discount to (yyyy-mm-dd)";"Reference #";"Supplier reference #";"Supplier ID";"Manufacturer ID";EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;"Minimal quantity";Visibility;"Additional shipping cost";"Unit for the unit price";"Unit price";"Short description";Description;"Tags (x,y,z...)";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Text when in stock";"Text when backorder allowed";"Available for order (0 = No, 1 = Yes)";"Product available date";"Product creation date";"Show price (0 = No, 1 = Yes)";"Image URLs (x,y,z...)";"Delete existing images (0 = No, 1 = Yes)";"Feature (Name:Value:Position:Customized)";"Available online only (0 = No, 1 = Yes)";Condition;"Customizable (0 = No, 1 = Yes)";"Uploadable files (0 = No, 1 = Yes)";"Text fields (0 = No, 1 = Yes)";"Action when out of stock";"ID / Name of shop";"Advanced Stock Management";"Depends on stock";Warehouse;Accessories;Carriers;"Customization Fields";"Attacments Ids";"Date Update";"Base price"
1;1;"Lorem ipsum dolor sit amet";2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,32,34,35;206.473;206.473;1;0.000000;1;;;;;;;1;1;;;0.000000;0.000000;0.000000;0.000000;100.000000;99;1;both;0.00;;0;"<p>Fashion has always been so temporary and uncertain. You can't keep up with it. This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies.</p>";"<p>Fashion has always been so temporary and uncertain. You can't keep up with it. This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies. Obviously there is nothing wrong about it because fashion satisfies our willingness to be attractive. And also fashion is the detector of prosperity and social rank. So, our natural desire to wear fashionable clothes has many reasons such as historical, social and others. Therefore being fashionable costs a lot of money. But nowadays fashion is not such unavailable as it was a couple of centuries ago. We are lucky to have an opportunity to buy qualitative, fashionable and affordable clothes.</p>
<p> </p>";;;;;lorem-ipsum-dolor-sit-amet;;;1;0000-00-00;"2014-03-28 10:53:21";1;http://192.168.9.14/theme_update/51683/old/img/p/1/1.jpg,http://192.168.9.14/theme_update/51683/old/img/p/2/2.jpg,http://192.168.9.14/theme_update/51683/old/img/p/3/3.jpg,http://192.168.9.14/theme_update/51683/old/img/p/4/4.jpg,http://192.168.9.14/theme_update/51683/old/img/p/5/5.jpg,http://192.168.9.14/theme_update/51683/old/img/p/6/6.jpg;0;1:34:1,2:34:2,4:34:3;1;new;0;0;0;2;1;0;;;3,4,5,6,8;;;;"2014-03-29 04:25:02";217.340000
2;1;"Lorem ipsum dolor sit amet";2,3,4,6,7,9,10,11,12,14,16,17,19,21,22,23,32,34,35;225.99;225.99;1;0.000000;0;;;;;;;0;1;;;0.000000;0.000000;0.000000;0.000000;101.000000;100;1;both;0.00;;0;"<p>Fashion has always been so temporary and uncertain. You can't keep up with it. This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies.</p>";"<p>Fashion has always been so temporary and uncertain. You can't keep up with it. This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies. Obviously there is nothing wrong about it because fashion satisfies our willingness to be attractive. And also fashion is the detector of prosperity and social rank. So, our natural desire to wear fashionable clothes has many reasons such as historical, social and others. Therefore being fashionable costs a lot of money. But nowadays fashion is not such unavailable as it was a couple of centuries ago. We are lucky to have an opportunity to buy qualitative, fashionable and affordable clothes.</p>
<p> </p>";;;;;lorem-ipsum-dolor-sit-amet;;;1;0000-00-00;"2014-03-28 10:53:21";1;http://192.168.9.14/theme_update/51683/old/img/p/7/7.jpg,http://192.168.9.14/theme_update/51683/old/img/p/8/8.jpg,http://192.168.9.14/theme_update/51683/old/img/p/9/9.jpg,http://192.168.9.14/theme_update/51683/old/img/p/1/0/10.jpg,http://192.168.9.14/theme_update/51683/old/img/p/1/1/11.jpg,http://192.168.9.14/theme_update/51683/old/img/p/1/2/12.jpg;0;1:34:1,2:34:2,4:34:3;0;new;0;0;0;2;1;0;;;4,5,6,8,10;;;;"2014-03-29 04:29:28";225.990000
3;1;"Lorem ipsum dolor sit amet";2,3,4,6,7,8,9,10,11,12,14,15,17,20,22,23,24,25,33,35;205.39;205.39;1;0.000000;1;;;;;;;0;1;;;0.000000;0.000000;0.000000;0.000000;102.000000;99;1;both;0.00;;0;"<p>Fashion has always been so temporary and uncertain. You can't keep up with it. This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies.</p>";"<p>Fashion has always been so temporary and uncertain. You can't keep up with it. This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies. Obviously there is nothing wrong about it because fashion satisfies our willingness to be attractive. And also fashion is the detector of prosperity and social rank. So, our natural desire to wear fashionable clothes has many reasons such as historical, social and others. Therefore being fashionable costs a lot of money. But nowadays fashion is not such unavailable as it was a couple of centuries ago. We are lucky to have an opportunity to buy qualitative, fashionable and affordable clothes.</p>
<p> </p>";;;;;lorem-ipsum-dolor-sit-amet;;;1;0000-00-00;"2014-03-28 10:53:21";1;http://192.168.9.14/theme_update/51683/old/img/p/1/3/13.jpg,http://192.168.9.14/theme_update/51683/old/img/p/1/4/14.jpg,http://192.168.9.14/theme_update/51683/old/img/p/1/5/15.jpg,http://192.168.9.14/theme_update/51683/old/img/p/1/6/16.jpg,http://192.168.9.14/theme_update/51683/old/img/p/1/7/17.jpg,http://192.168.9.14/theme_update/51683/old/img/p/1/8/18.jpg;0;1:34:1,2:34:2,4:34:3;1;new;0;0;0;2;1;0;;;4,5,6,7,8;;;;"2014-03-29 04:29:20";223.250000
4;1;"Lorem ipsum dolor sit amet";2,4,5,6,8,9,10,11,13,14,15,17,18,19,22,23,24,25,32,33,35;218.99;218.99;1;0.000000;0;;;;;;;0;1;;;0.000000;0.000000;0.000000;0.000000;103.000000;99;1;both;0.00;;0;"<p>Fashion has always been so temporary and uncertain. You can't keep up with it. This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies.</p>";"<p>Fashion has always been so temporary and uncertain. You can't keep up with it. This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies. Obviously there is nothing wrong about it because fashion satisfies our willingness to be attractive. And also fashion is the detector of prosperity and social rank. So, our natural desire to wear fashionable clothes has many reasons such as historical, social and others. Therefore being fashionable costs a lot of money. But nowadays fashion is not such unavailable as it was a couple of centuries ago. We are lucky to have an opportunity to buy qualitative, fashionable and affordable clothes.</p>
<p> </p>";;;;;lorem-ipsum-dolor-sit-amet;;;1;0000-00-00;"2014-03-28 10:53:21";1;http://192.168.9.14/theme_update/51683/old/img/p/1/9/19.jpg,http://192.168.9.14/theme_update/51683/old/img/p/2/0/20.jpg,http://192.168.9.14/theme_update/51683/old/img/p/2/1/21.jpg,http://192.168.9.14/theme_update/51683/old/img/p/2/2/22.jpg,http://192.168.9.14/theme_update/51683/old/img/p/2/3/23.jpg,http://192.168.9.14/theme_update/51683/old/img/p/2/4/24.jpg;0;1:34:1,2:34:2,4:34:3;0;new;0;0;0;2;1;0;;;3,5,7,9,10;;;;"2014-03-29 04:28:49";218.990000
5;1;"Lorem ipsum dolor sit amet";2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,32,33,34;212.99;212.99;1;0.000000;0;;;;;;;0;1;;;0.000000;0.000000;0.000000;0.000000;104.000000;99;1;both;0.00;;0;"<p>Fashion has always been so temporary and uncertain. You can't keep up with it. This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies.</p>";"<p>Fashion has always been so temporary and uncertain. You can't keep up with it. This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies. Obviously there is nothing wrong about it because fashion satisfies our willingness to be attractive. And also fashion is the detector of prosperity and social rank. So, our natural desire to wear fashionable clothes has many reasons such as historical, social and others. Therefore being fashionable costs a lot of money. But nowadays fashion is not such unavailable as it was a couple of centuries ago. We are lucky to have an opportunity to buy qualitative, fashionable and affordable clothes.</p>
<p> </p>";;;;;lorem-ipsum-dolor-sit-amet;;;1;0000-00-00;"2014-03-28 10:53:21";1;http://192.168.9.14/theme_update/51683/old/img/p/2/5/25.jpg,http://192.168.9.14/theme_update/51683/old/img/p/2/6/26.jpg,http://192.168.9.14/theme_update/51683/old/img/p/2/7/27.jpg,http://192.168.9.14/theme_update/51683/old/img/p/2/8/28.jpg,http://192.168.9.14/theme_update/51683/old/img/p/2/9/29.jpg,http://192.168.9.14/theme_update/51683/old/img/p/3/0/30.jpg;0;1:34:1,2:34:2,4:34:3;0;new;0;0;0;2;1;0;;;3,6,7,10;;;;"2014-03-29 04:29:34";212.990000
6;1;"Lorem ipsum dolor sit amet";2,3,4,6,7,9,10,12,14,16,17,18,19,21,22,23,25,32,33,34,35;211.99;211.99;1;0.000000;0;;;;;;;0;1;;;0.000000;0.000000;0.000000;0.000000;105.000000;100;1;both;0.00;;0;"<p>Fashion has always been so temporary and uncertain. You can't keep up with it. This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies.</p>";"<p>Fashion has always been so temporary and uncertain. You can't keep up with it. This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies. Obviously there is nothing wrong about it because fashion satisfies our willingness to be attractive. And also fashion is the detector of prosperity and social rank. So, our natural desire to wear fashionable clothes has many reasons such as historical, social and others. Therefore being fashionable costs a lot of money. But nowadays fashion is not such unavailable as it was a couple of centuries ago. We are lucky to have an opportunity to buy qualitative, fashionable and affordable clothes.</p>
<p> </p>";;;;;lorem-ipsum-dolor-sit-amet;;;1;0000-00-00;"2014-03-28 10:53:21";1;http://192.168.9.14/theme_update/51683/old/img/p/3/1/31.jpg,http://192.168.9.14/theme_update/51683/old/img/p/3/2/32.jpg,http://192.168.9.14/theme_update/51683/old/img/p/3/3/33.jpg,http://192.168.9.14/theme_update/51683/old/img/p/3/4/34.jpg,http://192.168.9.14/theme_update/51683/old/img/p/3/5/35.jpg,http://192.168.9.14/theme_update/51683/old/img/p/3/6/36.jpg;0;1:34:1,2:34:2,4:34:3;0;new;0;0;0;2;1;0;;;1,3,9;;;;"2014-03-29 04:29:10";211.990000
7;1;"Lorem ipsum dolor sit amet";2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,32,33,35;211.99;211.99;1;0.000000;0;;;;;;;0;1;;;0.000000;0.000000;0.000000;0.000000;106.000000;99;1;both;0.00;;0;"<p>Fashion has always been so temporary and uncertain. You can't keep up with it. This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies.</p>";"<p>Fashion has always been so temporary and uncertain. You can't keep up with it. This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies. Obviously there is nothing wrong about it because fashion satisfies our willingness to be attractive. And also fashion is the detector of prosperity and social rank. So, our natural desire to wear fashionable clothes has many reasons such as historical, social and others. Therefore being fashionable costs a lot of money. But nowadays fashion is not such unavailable as it was a couple of centuries ago. We are lucky to have an opportunity to buy qualitative, fashionable and affordable clothes.</p>
<p> </p>";;;;;lorem-ipsum-dolor-sit-amet;;;1;0000-00-00;"2014-03-28 10:53:21";1;http://192.168.9.14/theme_update/51683/old/img/p/3/7/37.jpg,http://192.168.9.14/theme_update/51683/old/img/p/3/8/38.jpg,http://192.168.9.14/theme_update/51683/old/img/p/4/0/40.jpg,http://192.168.9.14/theme_update/51683/old/img/p/4/1/41.jpg,http://192.168.9.14/theme_update/51683/old/img/p/4/2/42.jpg;0;1:34:1,2:34:2,4:34:3;0;new;0;0;0;2;1;0;;;1,2,5,11,12;;;;"2014-04-01 04:49:09";211.990000
8;1;"Lorem ipsum dolor sit amet";2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,22,23,32,33,35;206.7912;206.7912;1;0.000000;1;;;;;;;0;0;;;0.000000;0.000000;0.000000;0.000000;107.000000;100;1;both;0.00;;0;"<p>Fashion has always been so temporary and uncertain. You can't keep up with it. This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies.</p>";"<p>Fashion has always been so temporary and uncertain. You can't keep up with it. This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies. Obviously there is nothing wrong about it because fashion satisfies our willingness to be attractive. And also fashion is the detector of prosperity and social rank. So, our natural desire to wear fashionable clothes has many reasons such as historical, social and others. Therefore being fashionable costs a lot of money. But nowadays fashion is not such unavailable as it was a couple of centuries ago. We are lucky to have an opportunity to buy qualitative, fashionable and affordable clothes.</p>
<p> </p>";;;;;lorem-ipsum-dolor-sit-amet;;;1;0000-00-00;"2014-03-28 10:53:21";1;http://192.168.9.14/theme_update/51683/old/img/p/4/3/43.jpg,http://192.168.9.14/theme_update/51683/old/img/p/4/4/44.jpg,http://192.168.9.14/theme_update/51683/old/img/p/4/5/45.jpg,http://192.168.9.14/theme_update/51683/old/img/p/4/6/46.jpg,http://192.168.9.14/theme_update/51683/old/img/p/4/7/47.jpg,http://192.168.9.14/theme_update/51683/old/img/p/4/8/48.jpg;0;1:34:1,2:34:2,4:34:3;1;new;0;0;0;2;1;0;;;;;;;"2014-03-29 04:35:03";234.990000
9;1;"Lorem ipsum dolor sit amet";2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,22,23,25,32,33,35;206.416;206.416;1;0.000000;1;;;;;;;0;1;;;0.000000;0.000000;0.000000;0.000000;108.000000;99;1;both;0.00;;0;"<p>Fashion has always been so temporary and uncertain. You can't keep up with it. This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies.</p>";"<p>Fashion has always been so temporary and uncertain. You can't keep up with it. This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies. Obviously there is nothing wrong about it because fashion satisfies our willingness to be attractive. And also fashion is the detector of prosperity and social rank. So, our natural desire to wear fashionable clothes has many reasons such as historical, social and others. Therefore being fashionable costs a lot of money. But nowadays fashion is not such unavailable as it was a couple of centuries ago. We are lucky to have an opportunity to buy qualitative, fashionable and affordable clothes.</p>
<p> </p>";;;;;lorem-ipsum-dolor-sit-amet;;;1;0000-00-00;"2014-03-28 10:53:21";1;http://192.168.9.14/theme_update/51683/old/img/p/4/9/49.jpg,http://192.168.9.14/theme_update/51683/old/img/p/5/0/50.jpg,http://192.168.9.14/theme_update/51683/old/img/p/5/1/51.jpg,http://192.168.9.14/theme_update/51683/old/img/p/5/2/52.jpg,http://192.168.9.14/theme_update/51683/old/img/p/5/3/53.jpg,http://192.168.9.14/theme_update/51683/old/img/p/5/4/54.jpg;0;1:34:1,2:34:2,4:34:3;0;new;0;0;0;2;1;0;;;2,5,7,12;;;;"2014-03-29 04:34:03";217.280000
10;1;"Lorem ipsum dolor sit amet";2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,22,23,25,32,33,34,35;184.4313;184.4313;1;0.000000;1;;;;;;;0;1;;;0.000000;0.000000;0.000000;0.000000;109.000000;99;1;both;0.00;;0;"<p>Fashion has always been so temporary and uncertain. You can't keep up with it. This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies.</p>";"<p>Fashion has always been so temporary and uncertain. You can't keep up with it. This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies. Obviously there is nothing wrong about it because fashion satisfies our willingness to be attractive. And also fashion is the detector of prosperity and social rank. So, our natural desire to wear fashionable clothes has many reasons such as historical, social and others. Therefore being fashionable costs a lot of money. But nowadays fashion is not such unavailable as it was a couple of centuries ago. We are lucky to have an opportunity to buy qualitative, fashionable and affordable clothes.</p>
<p> </p>";;;;;lorem-ipsum-dolor-sit-amet;;;1;0000-00-00;"2014-03-28 10:53:21";1;http://192.168.9.14/theme_update/51683/old/img/p/5/5/55.jpg,http://192.168.9.14/theme_update/51683/old/img/p/5/6/56.jpg,http://192.168.9.14/theme_update/51683/old/img/p/5/7/57.jpg,http://192.168.9.14/theme_update/51683/old/img/p/5/8/58.jpg,http://192.168.9.14/theme_update/51683/old/img/p/5/9/59.jpg,http://192.168.9.14/theme_update/51683/old/img/p/6/0/60.jpg;0;1:34:1,2:34:2,4:34:3;0;new;0;0;0;2;1;0;;;3,4,6;;;;"2014-03-29 04:34:16";211.990000
